  N,  K, P(N:K)
  3,  3,  0.650
  5,  2,  0.116
  3,  2,  0.400
  4,  1,  0.083
  7,  1,  0.024
  4,  3,  0.341
  3,  6,  1.000
  7,  2,  0.053
  5,  1,  0.050
  5,  3,  0.200
  2,  1,  0.500
  2,  2,  1.000
  2,  3,    NaN
  2,  4,    NaN
  2,  5,    NaN
  2,  6,    NaN
  2,  7,    NaN
  2,  8,    NaN
  2,  9,    NaN
  2, 10,    NaN
  2, 11,    NaN
  2, 12,    NaN
  2, 13,    NaN
  2, 14,    NaN
  2, 15,    NaN
  2, 16,    NaN
  3,  5,  1.000
  3,  7,    NaN
  4,  4,  0.501
  4,  2,  0.197
  8,  1,  0.018
  6,  2,  0.076
  3,  4,  0.867
  3, 10,    NaN
  3, 11,    NaN
  3, 12,    NaN
  3, 13,    NaN
  3, 14,    NaN
  3, 15,    NaN
  3, 16,    NaN
  6,  1,  0.033
  3,  1,  0.167
  3,  8,    NaN
  3,  9,    NaN
  8,  2,  0.040
  4,  5,  0.658
  4,  7,  0.895
  5,  4,  0.302
  6,  3,  0.130
  4,  6,  0.793
  4,  9,  0.991
  4, 10,  1.000
  4,  8,  0.960
  4, 12,  1.000
  4, 14,    NaN
  4, 15,    NaN
  4, 16,    NaN
  4, 13,    NaN
  4, 11,  1.000
  7,  3,  0.090
  5,  5,  0.417
  6,  4,  0.196
  8,  3,  0.066
  5,  6,  0.536
  7,  4,  0.135
  6,  5,  0.274
  5,  7,  0.649
  8,  4,  0.098
  5,  8,  0.750
  5,  9,  0.832
  6,  6,  0.362
  7,  5,  0.189
  5, 10,  0.895
  5, 11,  0.939
  5, 12,  0.968
  5, 13,  0.985
  6,  7,  0.456
  5, 14,  0.994
  5, 15,  0.998
  8,  5,  0.137
  5, 16,  1.000
  7,  6,  0.253
  6,  8,  0.551
  8,  6,  0.180
  8,  7,  0.224
  7,  7,  0.322
  8,  8,  0.256
  7,  8,  0.380
  8,  9,  0.302
  6,  9,  0.640
  8, 10,  0.318
  7,  9,  0.416
  6, 10,  0.719
  7, 10,  0.471
  8, 11,  0.338
  7, 11,  0.525
  8, 12,  0.372
  7, 12,  0.566
  6, 11,  0.779
  6, 12,  0.826
  7, 13,  0.600
  8, 13,  0.399
  7, 14,  0.631
  8, 14,  0.422
  6, 13,  0.865
  8, 15,  0.441
  7, 15,  0.657
  6, 14,  0.900
  6, 15,  0.932
  7, 16,  0.676
  8, 16,  0.455
  6, 16,  0.957
